title,imdb_id
The Sorcerer's Apprentice,tt0963966
Law Abiding Citizen,tt1197624
Bridget Jones's Diary,tt0243155
The Mist,tt0884328
Wrath of Man,tt11083552
Bram Stoker's Dracula,tt0103874
Batman & Robin,tt0118688
Skyscraper,tt5758778
The Town,tt0840361
The Hunchback of Notre Dame,tt0116583
The Expendables 3,tt2333784
Meet Joe Black,tt0119643
The Lego Batman Movie,tt4116284
The Mule,tt7959026
The Holiday,tt0457939
There's Something About Mary,tt0129387
The Princess Diaries,tt0247638
The Huntsman: Winter's War,tt2381991
Everest,tt2719848
American Pie 2,tt0252866
The Place Beyond the Pines,tt1817273
Glass Onion: A Knives Out Mystery,tt11564570
The Illusionist,tt0443543
Pacific Rim: Uprising,tt2557478
Panic Room,tt0258000
Bee Movie,tt0389790
War Dogs,tt2005151
Chicken Run,tt0120630
Jack Reacher: Never Go Back,tt3393786
Turning Red,tt8097030
Men in Black: International,tt2283336
Journey to the Center of the Earth,tt0373051
The Founder,tt4276820
L.A. Confidential,tt0119488
Geostorm,tt1981128
Isle of Dogs,tt5104604
Meet the Fockers,tt0290002
White House Down,tt2334879
London Has Fallen,tt3300542
Bad Teacher,tt1284575
Shooter,tt0822854
Sucker Punch,tt0978764
Spider-Man: Across the Spider-Verse,tt9362722
Starship Troopers,tt0120201
No Strings Attached,tt1411238
Alien Resurrection,tt0118583
Rush Hour,tt0120812
The Visit,tt3567288
I Am Number Four,tt1464540
Bridge to Terabithia,tt0398808
Déjà Vu,tt0453467
The Blair Witch Project,tt0185937
The Lighthouse,tt7984734
Halloween,tt1502407
Atlantis: The Lost Empire,tt0230011
Blade II,tt0187738
Cube,tt0123755
G.I. Joe: The Rise of Cobra,tt1046173
Hannibal,tt0212985
21,tt0478087
Escape Room,tt5886046
Marley & Me,tt0822832
The A-Team,tt0429493
Insomnia,tt0278504
Burn After Reading,tt0887883
Rocketman,tt2066051
Monsters vs Aliens,tt0892782
Mortal Engines,tt1571234
The Mortal Instruments: City of Bones,tt1538403
The Post,tt6294822
Casper,tt0112642
The Predator,tt3829266
Lord of War,tt0399295
Robin Hood,tt0955308
Uncut Gems,tt5727208
The Golden Compass,tt0385752
Exodus: Gods and Kings,tt1528100
Allied,tt3640424
Scary Movie 2,tt0257106
The Lovely Bones,tt0380510
Spirit: Stallion of the Cimarron,tt0166813
Fear and Loathing in Las Vegas,tt0120669
